new entry "NECRO_BLADE"
type "StatusData"
data "StatusType" "EFFECT"
data "DisplayName" "h73d277fe9541440282f67dfd199dcc5155f0;1"
data "Description" "h73d277fe9541440282f67dfd199dcc5155f0;1"
data "Icon" "PassiveFeature_Generic_Darkness"
data "SoundLoop" "MAG_Status_ShadowBlade"
data "SoundStop" "MAG_Status_ShadowBlade_Stop"
data "Boosts" "Attribute(InventoryBound)"
data "StatusPropertyFlags" "DisableOverhead;DisableCombatlog;DisablePortraitIndicator"
data "StatusEffect" "DIRGE_NECROTIC_VISUAL"
data "StatusEffectForItems" "DIRGE_NECROTIC_VISUAL"
